iter	RMSE
0	14567.79836
1	14557.13392	14604.30421
3	14597.82349
4	14580.47357
5	14564.80765
6	14549.17385
7	14537.15155
8	14524.09591
9	14512.02219
10	14503.3252
11	14494.23456
12	14481.56216
13	14468.68384
14	14459.59112
15	14449.36546
16	14441.2549
17	14428.5319
18	14418.96579
19	14410.77962
20	14398.75315
21	14390.28287
22	14381.46673
23	14369.81885
24	14358.23371
25	14351.16159
26	14337.24558
27	14330.10688
28	14323.23847
29	14313.49545
30	14301.39314
31	14294.57019
32	14281.53939
33	14272.17426
34	14261.8265
35	14247.96945
36	14238.5083
37	37	14190.75138	38	14178.88639	39	14167.83540	40	14158.17641	41	14151.47142	42	14141.1744343	14134.30954444	14118.75614545	14110.95884646	14104.29764747	14089.88484848	14083.96614949	14076.17825050	14066.48851	51	14054.24184
52	14040.71163
53	14032.4753
54	14023.95336
55	14014.29977
56	14006.83263
57	14000.03607
58	13988.68042
59	13980.3601
60	13974.46358
61	13961.7022
62	13948.40688
63	13936.89689
64	13926.57587
65	13919.40254
66	13901.4398
67	13893.68888
68	13882.10555
69	13871.46624
70	13864.09021
71	13853.20623
72	13842.71273
73	13834.17727
74	13825.65574
75	13814.08351
76	13806.89231
77	13799.51749
78	13791.2396
79	13782.85349
80	13778.59648
81	13764.89545
82	13753.90369
83	13742.65777
84	13730.50031
85	13722.80119
86	13710.25312
87	13702.61151
88	13693.07383
89	13683.01283
90	13674.24702
91	13663.3589
92	13656.03233
93	13645.29697
94	13634.16032
95	13625.07217
96	13617.6731
97	13610.94849
98	13602.71399
99	13593.99347
100	13584.80798
101	13577.03763
102	13567.22059
103	13555.83969
104	13542.191
105	13536.05428
106	13526.80944
107	13515.80112
108	13507.29269
109	13493.49361
110	13484.21221
111	13476.73114
112	13471.17442
113	13461.65041
114	13448.20874
115	13439.34126
116	13433.19263
117	13425.58353
118	13418.80087
119	13411.64515
120	13401.7252
121	13389.53624
122	13382.08458
123	13369.56012
124	13359.61968
125	13347.00057
126	13336.11885
127	13328.21658
128	13321.09528
129	13311.52021
130	13301.65413
131	13297.08907
132	13288.19114
133	13279.5532
134	13270.72535
135	13259.83466
136	13251.1064
137	13242.63852
138	13233.82963
139	13224.5649
140	13211.18822
141	13201.54287
142	13191.85456
143	13185.68708
144	13176.2252
145	13165.14559
146	13157.33223
147	13147.15998
148	13140.26994
149	13133.00395
150	13121.96267
151	13105.55981
152	13098.91294
153	13089.38107
154	13083.62431
155	13070.43677
156	13063.1929
157	13055.55841
158	13048.41955
159	13041.63584
160	13033.20911
161	13023.56862
162	13012.47666
163	13002.58835
164	12992.11405
165	12984.43464
166	12975.42323
167	12968.36891
168	12956.21112
169	12950.9605
170	12941.60529
171	12931.27682
172	12920.89525
173	12911.7646
174	12902.55735
175	12894.695
176	12884.9607
177	12873.59921
178	12863.88549
179	12853.28178
180	12844.83094
181	12834.72903
182	12825.42471
183	12817.96091
184	12808.95158
185	12803.05903
186	12795.82839
187	12790.00342
188	12776.29127
189	12770.50218
190	12764.10694
191	12757.6357
192	12751.20059
193	12744.18106
194	12734.9044
195	12729.12966
196	12720.22136
197	12712.51401
198	12700.00221
199	12688.99617
200	12681.45295
201	12676.32308
202	12668.26857
203	12658.86296
204	12649.57275
205	12644.64263
206	12633.31847
207	12622.17808
208	12609.91952
209	12601.39093
210	12592.21394
211	12582.59853
212	12575.57978
213	12569.04448
214	12560.19727
215	12551.54556
216	12543.32564
217	12537.70662
218	12523.24432
219	12513.089
220	12506.0669
221	12499.48647
222	12489.54552
223	12480.15401
224	12470.60403
225	12461.81021
226	12453.51639
227	12446.58785
228	12439.60733
229	12427.6565
230	12418.85417
231	12411.84787
232	12401.87971
233	12393.83988
234	12383.97555
235	12374.25391
236	12368.729823237	12361.38137
238	12356.117923239	12347.04242240	12337.67517241	12368.86778
242	12360.76496
243	12355.4716
244	12342.16402
245	12334.54274
246	12325.04795247	12290.15364
248	12311.57311
249	12301.91393
250	12290.94477
251	12281.0572
2252	12253.756172253	12243.520442254	12231.689962255	12224.964912256	12217.747232257	12210.824042258	12199.733022259	12194.902172260	12187.286042261	12177.703192262	12170.627252263	12163.88345264	12186.5867
265	12174.74863
26266	12138.608
267	12132.88943
268	12121.28905
269	12116.45512
270	12106.84969
271	12102.70546
272	12108.23248
273	12100.42813
274	12095.75298
