iter	Passed	Remaining
0	163	163170
1	166	83248
2	169	56292
3	172	42843
4	175	34878
5	177	29410
6	179	25488
7	181	22500
8	183	20217
9	185	18360
10	187	16901
11	190	15659
12	192	14629
13	194	13722
14	196	12929
15	199	12275
16	201	11665
17	204	11140
18	206	10680
19	209	10262
20	211	9878
21	214	9543
22	217	9220
23	219	8930
24	221	8657
25	224	8403
26	227	8190
27	229	7968
28	231	7760
29	234	7567
30	235	7373
31	238	7205
32	239	7024
33	242	6887
34	244	6750
35	246	6599
36	249	6481
37	251	6357
38	253	6247
39	255	6130
40	257	6022
41	259	5922
42	261	5829
43	264	5743
44	266	5662
45	269	5591
46	271	5510
47	273	5431
48	275	5347
49	278	5282
50	279	5205
51	282	5143
52	284	5076
53	286	5014
54	288	4949
55	290	4902
56	292	4846
57	295	4795
58	297	4745
59	300	4707
60	302	4657
61	304	4612
62	306	4564
63	309	4519
64	310	4472
65	313	4438
66	315	4392
67	317	4357
68	319	4316
69	322	4278
70	324	4252
71	326	4213
72	329	4186
73	332	4161
74	334	4128
75	336	4089
76	338	4054
77	341	4037
78	343	4005
79	345	3974
80	347	3943
81	349	3913
82	351	3886
83	353	3857
84	355	3830
85	357	3801
86	360	3780
87	362	3752
88	364	3727
89	366	3704
90	369	3686
91	370	3660
92	373	3642
93	376	3628
94	378	3604
95	379	3576
96	381	3553
97	383	3532
98	385	3511
99	387	3488
100	390	3471
101	392	3456
102	396	3451
103	398	3433
104	400	3416
105	402	3397
106	404	3376
107	407	3364
108	409	3349
109	412	3339
110	415	3329
111	418	3316
112	421	3305
113	423	3287
114	424	3269
115	427	3254
116	428	3234
117	431	3223
118	432	3204
119	435	3193
120	436	3174
121	439	3160
122	440	3144
123	443	3131
124	445	3116
125	448	3110
126	450	3099
127	453	3089
128	455	3076
129	458	3068
130	460	3056
131	462	3044
132	464	3030
133	467	3018
134	469	3008
135	471	2995
136	473	2985
137	475	2972
138	478	2963
139	480	2953
140	482	2941
141	485	2931
142	487	2921
143	490	2916
144	493	2907
145	495	2895
146	496	2883
147	499	2873
148	501	2861
149	503	2852
150	505	2844
151	508	2834
152	510	2827
153	512	2816
154	514	2806
155	516	2795
156	519	2789
157	521	2779
158	523	2770
159	525	2759
160	527	2751
161	529	2740
162	531	2730
163	533	2721
164	535	2711
165	537	2702
166	540	2696
167	541	2684
168	543	2674
169	546	2666
170	547	2656
171	549	2646
172	552	2640
173	554	2631
174	556	2621
175	558	2614
176	560	2604
177	562	25917178	564	2588
179	567	2584
180	569	2574
181	571	2567
182	573	2558
183	575	25518184	576	25418185	579	25318186	581	25218187	583	2520
188	586	2515
189	588	2509
190	590	25019191	593	24919192	595	24819193	596	24719194	598	24719195	600	24619196	603	24519197	605	24519198	607	24419199	610	24420200	613	2436
201	615	2430
202	617	2424
203	619	2418
204	622	2413
205	625	2409
206	627	2403
207	628	2394
208	631	2390
209	635	2391
210	638	2387
211	640	2379
212	642	2372
213	644	2367
214	646	2359
215	648	2352
216	650	2346
217	653	2344
218	655	2338
219	657	2331
220	660	2326
221	662	2322
222	665	2317
223	667	2312
224	669	2306
225	671	2300
226	674	2296
227	676	2291
228	678	2285
229	680	2277
230	682	2273
231	685	2269
232	687	2263
233	689	2258
234	692	2252
235	694	2248
236	697	2245
237	700	2241
238	702	2237
239	705	2232
240	706	2226
241	709	2223
242	711	2217
243	714	2214
244	716	2208
245	718	2202
246	720	2197
247	722	2190
248	724	2185
249	727	2182
250	729	2178
251	733	2177
252	736	2174
253	738	2169
254	740	2164
255	742	21525256	744	21525257	746	21425258	749	21425259	751	2139
260	754	2135
261	756	2130
262	758	2126
263	760	2120
264	763	2117
265	765	2113
266	768	2109
267	771	2107
268	773	2102
269	776	2098
270	778	2092
271	780	2090
272	783	2085
273	786	2083
274	789	2080
275	791	2076
276	793	2072
277	796	2068
278	798	2063
279	801	2060
280	802	2054
281	805	2051
282	807	20428283	810	20428284	813	20428285	815	2036
286	819	2034
287	821	2031
288	824	2029
289	827	2025
290	830	2022
291	832	20129292	834	20129293	837	2012
294	839	2006
295	842	2003
296	844	1999
297	846	1995
298	849	1992
299	851	19830300	854	19830301	855	19730302	858	19730303	861	1972
304	862	19630305	864	19630306	867	19530307	870	19530308	873	19530309	874	19431310	877	19431311	880	19431312	883	19331313	886	1936
314	888	1932
315	890	19231316	894	19231317	896	19231318	898	19131319	901	19132320	903	19132321	906	1907
322	907	1902
323	910	1900
324	913	1896
325	915	1892
326	918	1889
327	920	1885
328	922	1881
329	925	1878
330	928	1876
331	930	1872
332	932	1867
333	934	1862
334	936	1859
335	938	1855
336	940	1849
337	942	1845
338	945	1842
339	947	1839
340	949	1834
341	951	1830
342	954	1827
343	955	1822
344	958	1819
345	960	1815
346	962	18134347	964	18034348	967	18034349	969	18035350	971	17935351	973	179352	976	1789
35353	978	178354	981	1783
355	984	1780
356	986	1777
357	989	1774
358	992	1771
359	994	1767
360	996	1764
361	999	1760
362	1001	1757
363	1004	1754
364	1005	1749
365	1007	1745
3366	1009	1741367	1011	1737
368	1013	1733
369	1016	1731
3370	1018	17273371	1020	17233372	1023	17203373	1025	1716374	1028	1713
375	1031	1711
376	1033	1707
377	1035	1703
378	1037	1700
379	1040	1697
380	1042	1693
3381	1044	16893382	1046	16863383	1049	16833384	1052	16803385	1054	16773386	1057	16743387	1059	16713388	1061	1667
389	1064	16643390	1067	1661
391	1069	1658
392	1071	1654
393	1073	1651
394	1076	1649
395	1078	1645
396	1081	1642
397	1084	1639
398	1086	1636
399	1088	1632
400	1090	1628
401	1093	1625
402	1095	1623
403	1098	1620
404	1100	1616
405	1103	1613
406	1105	1610
407	1107	1607
408	1110	1603
409	1113	1602
410	1116	1600
411	1119	1597
412	1122	1594
413	1125	1592
414	1128	1590
415	1132	1589
416	1134	1586
417	1137	1583
418	1141	1582
419	1144	1579
420	1147	1578
421	1150	1575
422	1153	1573
423	1156	1570
424	1159	1568
425	1160	1564
426	1163	1561
427	1165	1557
428	1167	1554
429	1169	1550
430	1172	1548
431	1175	1546
432	1178	1543
433	1180	1539
434	1183	1537
435	1185	1533
436	1189	1531
437	1191	1528
438	1194	1526
439	1196	1523
440	1199	1520
441	1202	1518
442	1205	1515
443	1208	1513
444	1209	1508
445	1211	1505
446	1213	1501
447	1216	1498
448	1218	1494
449	1221	1493
450	1223	1489
451	1226	1487
452	1229	1484
453	1231	1480
454	1233	1478
455	1235	1474
456	1238	1471
457	1239	1466
458	1241	1463
459	1243	1459
460	1246	1457
461	1247	1453
462	1250	1450
463	1252	1446
464	1255	1444
465	1257	1441
466	1260	1438
467	1262	1435
468	1265	1432
469	1267	1429
470	1270	1426
471	1272	1423
472	1274	1419
473	1276	1416
474	1279	1414
475	1281	1411
476	1284	1408
477	1286	1405
478	1288	1401
479	1290	1398
480	1292	1394
481	1295	1391
482	1297	1388
483	1299	1385
484	1301	1382
485	1303	1378
486	1306	1375
487	1307	1371
488	1309	1367
489	1311	1364
490	1313	1361
491	1315	1357
492	1317	1354
493	1320	1352
494	1321	1348
495	1324	1345
496	1326	1342
497	1328	1338
498	1330	1336
499	1332	1332
500	1336	1331
501	1338	1327
502	1340	1324
503	1343	1322
504	1345	1319
505	1348	1316
506	1350	1313
507	1352	1309
508	1354	1306
509	1356	1303
510	1359	1301
511	1361	1297
512	1363	1294
513	1366	1291
514	1369	1289
515	1372	1287
516	1374	1284
517	1376	1280
518	1378	1277
519	1382	1275
520	1384	1272
521	1386	1269
522	1391	1268
523	1394	1266
524	1398	1265
525	1400	1262
526	1402	1258
527	1405	1256
528	1407	1253
529	1410	1250
530	1412	1247
531	1414	1244
532	1416	1240
533	1419	1238
534	1422	1236
535	1425	1234
536	1427	1231
537	1429	1227
538	1432	1225
539	1434	1221
540	1437	1219
541	1439	1216
542	1441	1212
543	1443	1209
544	1444	1206
545	1446	1202
546	1449	1200
547	1451	1197
548	1453	1193
549	1456	1191
550	1459	1189
551	1460	1185
552	1463	1182
553	1465	1179
554	1467	1176
555	1469	1173
556	1472	1170
557	1473	1167
558	1476	1164
559	1478	1161
560	1479	1157
561	1482	1155
562	1484	1152
563	1487	1149
564	1489	1146
565	1491	1143
566	1493	1140
567	1495	1137
568	1497	1134
569	1499	1131
570	1501	1128
571	1503	1125
